排行,證券代号,證券名稱,市值佔大盤比重
1,2330,台積電,26.513%
2,2317,鴻海,3.1573%
3,2454,聯發科,2.2789%
4,2412,中華電,1.9984%
5,6505,台塑化,1.7439%
6,2308,台達電,1.6966%
7,2881,富邦金,1.5909%
8,2882,國泰金,1.3377%
9,1303,南亞,1.2837%
10,1301,台塑,1.2597%
11,2303,聯電,1.1603%
12,2002,中鋼,1.069%
13,2891,中信金,0.9823%
14,2886,兆豐金,0.9645%
15,1326,台化,0.942%
16,3711,日月光投控,0.9342%
17,1216,統一,0.8627%
18,5880,合庫金,0.8304%
19,2892,第一金,0.7989%
20,2603,長榮,0.7865%
21,5871,中租-KY,0.7831%
22,2884,玉山金,0.7827%
23,3045,台灣大,0.7598%
24,2207,和泰車,0.7321%
25,2880,華南金,0.6982%
26,2912,統一超,0.6447%
27,2382,廣達,0.6367%
28,3008,大立光,0.6207%
29,2885,元大金,0.6185%
30,2395,研華,0.587%
31,1101,台泥,0.549%
32,2609,陽明,0.5215%
33,2615,萬海,0.5124%
34,4904,遠傳,0.4895%
35,5876,上海商銀,0.4882%
36,2883,開發金,0.4839%
37,2357,華碩,0.4547%
38,3034,聯詠,0.4377%
39,2890,永豐金,0.4347%
40,2327,國巨,0.4331%
41,1590,亞德客-KY,0.4245%
42,9910,豐泰,0.4151%
43,2801,彰銀,0.4142%
44,2887,台新金,0.4122%
45,3037,欣興,0.4044%
46,1605,華新,0.4015%
47,1402,遠東新,0.3893%
48,4938,和碩,0.3862%
49,6415,矽力*-KY,0.379%
50,2408,南亞科,0.3616%
51,2618,長榮航,0.3439%
52,2301,光寶科,0.3437%
53,8046,南電,0.3344%
54,1102,亞泥,0.3314%
55,2379,瑞昱,0.3285%
56,8454,富邦媒,0.3198%
57,6669,緯穎,0.3177%
58,9945,潤泰新,0.3116%
59,1476,儒鴻,0.3099%
60,2888,新光金,0.3097%
61,6409,旭隼,0.3091%
62,2345,智邦,0.2994%
63,6770,力積電,0.2866%
64,2474,可成,0.2753%
65,2409,友達,0.2633%
66,2610,華航,0.2605%
67,2105,正新,0.2505%
68,3481,群創,0.2407%
69,2834,臺企銀,0.2371%
70,2324,仁寶,0.2316%
71,2377,微星,0.2302%
